X,Y
238,354
380,328
270,326
312,322
260,321
219,317
218,290
648,282
738,280
336,279
214,278
677,275
61,273
400,270
291,263
261,261
173,261
74,257
263,256
719,252
330,246
291,242
249,241
422,240
753,238
348,233
393,232
383,231
398,228
313,227
268,226
346,224
380,224
249,224
290,221
302,218
265,214
241,214
296,212
392,211
721,207
366,204
36,199
591,197
392,195
379,195
435,186
338,183
322,180
416,178
387,176
317,174
463,172
68,168
338,166
627,165
71,163
716,163
115,141
321,136
169,125
292,124
592,123
369,90
177,86
454,83
