,0
Trace of Ricci Tensor After Evolution (E12),2.652810843164145
Trace of Ricci Tensor After Evolution (E13),3.1790255760479043
Stabilization Curvature Determinant (E12),0.6914327166721395
Stabilization Curvature Determinant (E13),1.1899191751321327
Ricci Flow Eigenvalues (E12),"[0.8814042924186811, 0.8874747571598011, 0.8839317935856631]"
Ricci Flow Eigenvalues (E13),"[1.0612020485212486, 1.0582637271274589, 1.0595598003991966]"
Ricci Flow Deviation Frobenius Norm (E12),0.3697320355846053
Ricci Flow Deviation Frobenius Norm (E13),0.17854625906393273
Sectional Curvature Divergence (E12),0.002715730491948898
Sectional Curvature Divergence (E13),0.0006716631631781267
