#: table_doi: 10.17182/hepdata.165512.v1/t1
#: name: Table 1
#: description: Inclusive charged particle spectra for pp collisions at 5.36 TeV for $3 < p_{T} (GeV) <103.6$. The errors represent statistical, systematics and normalization uncertainties.
#: data_file: data1.yaml
#: keyword reactions: PP --> CHARGED HADRON X
#: keyword cmenergies: 5360.0
#: keyword observables: Inclusive spectra
#: keyword phrases: Particle spectra | Oxygen-Oxygen collisions | Nuclear modification factor
#: SQRT(S_NN) [GeV],,,5360
#: RE,,,PP --> CHARGED HADRONS X
#: $|\eta|$,,,< 1
#: Note,,,Inclusive spectra
$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,$\frac{1}{2 \pi p_{T} L}\frac{d\sigma}{dp_{T}}$ [$mb/GeV^{2}$],stat +,stat -,sys +,sys -,norm +,norm -
16.5,16,17,3.704e-06,1.2e-08,-1.2e-08,1.28e-07,-1.28e-07,1.11e-07,-1.11e-07
17.5,17,18,2.5961e-06,9.5e-09,-9.5e-09,9.03e-08,-9.03e-08,7.79e-08,-7.79e-08
18.5,18,19,1.8611e-06,7.8e-09,-7.8e-09,6.5e-08,-6.5e-08,5.58e-08,-5.58e-08
19.5,19,20,1.3371e-06,6.5e-09,-6.5e-09,4.55e-08,-4.55e-08,4.01e-08,-4.01e-08
20.5,20,21,9.698e-07,2e-09,-2e-09,3.32e-08,-3.32e-08,2.91e-08,-2.91e-08
21.8,21,22.6,6.687e-07,1.3e-09,-1.3e-09,2.3e-08,-2.3e-08,2.01e-08,-2.01e-08
23.6,22.6,24.6,4.0788e-07,8.5e-10,-8.5e-10,1.415e-08,-1.415e-08,1.224e-08,-1.224e-08
25.6,24.6,26.6,2.4788e-07,6.4e-10,-6.4e-10,8.68e-09,-8.68e-09,7.44e-09,-7.44e-09
27.6,26.6,28.6,1.5407e-07,4.9e-10,-4.9e-10,5.45e-09,-5.45e-09,4.62e-09,-4.62e-09
30.6,28.6,32.6,8.372e-08,2.4e-10,-2.4e-10,3e-09,-3e-09,2.51e-09,-2.51e-09
34.6,32.6,36.6,3.855e-08,1.5e-10,-1.5e-10,1.41e-09,-1.41e-09,1.16e-09,-1.16e-09
39.6,36.6,42.6,1.6879e-08,7.8e-11,-7.8e-11,6.32e-10,-6.32e-10,5.06e-10,-5.06e-10
45.6,42.6,48.6,6.699e-09,4.6e-11,-4.6e-11,2.58e-10,-2.58e-10,2.01e-10,-2.01e-10
51.6,48.6,54.6,2.974e-09,2.9e-11,-2.9e-11,1.17e-10,-1.17e-10,8.9e-11,-8.9e-11
57.6,54.6,60.6,1.461e-09,1.9e-11,-1.9e-11,5.9e-11,-5.9e-11,4.4e-11,-4.4e-11
67.3,60.6,74,5.739e-10,7.6e-12,-7.6e-12,2.41e-11,-2.41e-11,1.72e-11,-1.72e-11
80.2,74,86.4,1.768e-10,4e-12,-4e-12,7.8e-12,-7.8e-12,5.3e-12,-5.3e-12
95.0,86.4,103.6,5.99e-11,1.8e-12,-1.8e-12,2.8e-12,-2.8e-12,1.8e-12,-1.8e-12

