#: table_doi: 10.17182/hepdata.165512.v1/t2
#: name: Table 2
#: description: Inclusive charged particle	spectra	for OO collisions at 5.36 TeV for $3 < p_{T} (GeV) <103.6$. The errors represent statistical, systematics and normalization uncertainties.
#: data_file: data2.yaml
#: keyword reactions: OO --> CHARGED HADRON X
#: keyword cmenergies: 5360.0
#: keyword observables: Inclusive spectra
#: keyword phrases: Particle spectra | Oxygen-Oxygen collisions | Nuclear modification factor
#: SQRT(S_NN) [GeV],,,5360
#: RE,,,OO --> CHARGED HADRONS X
#: $|\eta|$,,,< 1
#: Note,,,Inclusive spectra
$p_{T}$ [GeV],$p_{T}$ [GeV] LOW,$p_{T}$ [GeV] HIGH,$\frac{1}{2 \pi p_{T} L}\frac{d\sigma}{dp_{T}}$ [$mb/GeV^{2}$],stat +,stat -,sys +,sys -,norm +,norm -
3.1,3,3.2,18.5882,0.0034,-0.0034,1.0581,-1.0581,0.7435,-0.7435
3.3,3.2,3.4,12.832,0.0027,-0.0027,0.7263,-0.7263,0.5133,-0.5133
3.5,3.4,3.6,9.1648,0.0022,-0.0022,0.5068,-0.5068,0.3666,-0.3666
3.7,3.6,3.8,6.5164,0.0018,-0.0018,0.3528,-0.3528,0.2607,-0.2607
3.9,3.8,4,4.765,0.0015,-0.0015,0.253,-0.253,0.1906,-0.1906
4.2,4,4.4,3.07402,0.00083,-0.00083,0.16162,-0.16162,0.12296,-0.12296
4.6,4.4,4.8,1.74426,0.0006,-0.0006,0.08905,-0.08905,0.06977,-0.06977
5.0,4.8,5.2,1.05098,0.00044,-0.00044,0.05753,-0.05753,0.04204,-0.04204
5.4,5.2,5.6,0.64496,0.00033,-0.00033,0.0347,-0.0347,0.0258,-0.0258
5.8,5.6,6,0.41468,0.00026,-0.00026,0.02011,-0.02011,0.01659,-0.01659
6.2,6,6.4,0.27686,0.0002,-0.0002,0.01323,-0.01323,0.01107,-0.01107
6.6,6.4,6.8,0.18653,0.00016,-0.00016,0.0088,-0.0088,0.00746,-0.00746
7.0,6.8,7.2,0.13118,0.00013,-0.00013,0.00612,-0.00612,0.00525,-0.00525
7.4,7.2,7.6,0.09232,0.00011,-0.00011,0.00407,-0.00407,0.00369,-0.00369
7.8,7.6,8,0.067595,8.8e-05,-8.8e-05,0.002956,-0.002956,0.002704,-0.002704
8.25,8,8.5,0.047911,6.5e-05,-6.5e-05,0.002077,-0.002077,0.001916,-0.001916
8.75,8.5,9,0.033717,5.3e-05,-5.3e-05,0.00145,-0.00145,0.001349,-0.001349
9.25,9,9.5,0.024272,4.3e-05,-4.3e-05,0.001037,-0.001037,0.000971,-0.000971
9.75,9.5,10,0.017693,3.6e-05,-3.6e-05,0.00077,-0.00077,0.000708,-0.000708
10.5,10,11,0.0114451,4e-06,-4e-06,0.0004951,-0.0004951,0.0004578,-0.0004578
11.5,11,12,0.0066423,2.9e-06,-2.9e-06,0.0002859,-0.0002859,0.0002657,-0.0002657
12.5,12,13,0.0040261,2.2e-06,-2.2e-06,0.0001758,-0.0001758,0.000161,-0.000161
13.5,13,14,0.0025437,1.7e-06,-1.7e-06,0.000111,-0.000111,0.0001017,-0.0001017
14.5,14,15,0.0016604,1.3e-06,-1.3e-06,7.45e-05,-7.45e-05,6.64e-05,-6.64e-05
15.5,15,16,0.0011184,1e-06,-1e-06,5.03e-05,-5.03e-05,4.47e-05,-4.47e-05
16.5,16,17,0.00076169,8.2e-07,-8.2e-07,3.433e-05,-3.433e-05,3.047e-05,-3.047e-05
17.5,17,18,0.00053931,6.7e-07,-6.7e-07,2.438e-05,-2.438e-05,2.157e-05,-2.157e-05
18.5,18,19,0.00038578,5.5e-07,-5.5e-07,1.75e-05,-1.75e-05,1.543e-05,-1.543e-05
19.5,19,20,0.00028188,4.6e-07,-4.6e-07,1.26e-05,-1.26e-05,1.128e-05,-1.128e-05
20.5,20,21,0.00020441,3.8e-07,-3.8e-07,9.18e-06,-9.18e-06,8.18e-06,-8.18e-06
21.8,21,22.6,0.00014283,2.4e-07,-2.4e-07,6.45e-06,-6.45e-06,5.71e-06,-5.71e-06
23.6,22.6,24.6,8.811e-05,1.6e-07,-1.6e-07,4.01e-06,-4.01e-06,3.52e-06,-3.52e-06
25.6,24.6,26.6,5.49e-05,1.3e-07,-1.3e-07,2.53e-06,-2.53e-06,2.2e-06,-2.2e-06
27.6,26.6,28.6,3.4788e-05,9.7e-08,-9.7e-08,1.617e-06,-1.617e-06,1.392e-06,-1.392e-06
30.6,28.6,32.6,1.8926e-05,4.8e-08,-4.8e-08,8.94e-07,-8.94e-07,7.57e-07,-7.57e-07
34.6,32.6,36.6,8.797e-06,3.1e-08,-3.1e-08,4.25e-07,-4.25e-07,3.52e-07,-3.52e-07
39.6,36.6,42.6,3.918e-06,1.6e-08,-1.6e-08,1.94e-07,-1.94e-07,1.57e-07,-1.57e-07
45.6,42.6,48.6,1.5906e-06,9.3e-09,-9.3e-09,8.14e-08,-8.14e-08,6.36e-08,-6.36e-08
51.6,48.6,54.6,7.27e-07,5.9e-09,-5.9e-09,3.83e-08,-3.83e-08,2.91e-08,-2.91e-08
57.6,54.6,60.6,3.54e-07,3.9e-09,-3.9e-09,1.92e-08,-1.92e-08,1.42e-08,-1.42e-08
67.3,60.6,74,1.427e-07,1.6e-09,-1.6e-09,8.1e-09,-8.1e-09,5.7e-09,-5.7e-09
80.2,74,86.4,4.3e-08,8.3e-10,-8.3e-10,2.57e-09,-2.57e-09,1.72e-09,-1.72e-09
95.0,86.4,103.6,1.493e-08,3.9e-10,-3.9e-10,9.4e-10,-9.4e-10,6e-10,-6e-10

